time,1 - Sun TV ( Ethirneechal ),2 - Sun TV ( Ethirneechal ),3 - Sun TV ( Ethirneechal ),4 - Sun TV ( Ethirneechal ),5 - Sun TV ( Kayal ),6 - Sun TV ( Sundari ),7 - Saregama TV Shows Tamil ( INIYA Serial),8 - Sun TV ( Kayal ),9 - Sun TV ( Kayal ),10 - Saregama TV Shows Tamil ( Iniya Serial)
16th May 2023 13:00:00,0,0,0,0,0,0,0,0,0,0
16th May 2023 14:00:00,0,0,0,0,0,0,0,0,0,0
16th May 2023 15:00:00,0,0,0,0,0,0,0,0,0,0
16th May 2023 16:00:00,0,0,0,0,0,0,0,0,0,0
16th May 2023 17:00:00,0,0,0,0,0,0,0,0,0,0
16th May 2023 18:00:00,0,0,99040,0,0,0,0,0,0,0
16th May 2023 19:00:00,0,0,102734,0,0,0,0,0,0,0
16th May 2023 20:00:00,0,0,122896,0,0,0,0,0,0,0
16th May 2023 21:00:00,134300,0,142289,0,0,0,0,0,0,0
16th May 2023 22:00:00,134300,0,172963,0,0,0,0,0,0,0
16th May 2023 23:00:00,219547,0,194059,0,0,0,0,0,0,0
17th May 2023 00:00:00,227947,0,198187,0,0,0,0,0,0,0
17th May 2023 01:00:00,227947,0,206060,0,0,0,0,0,0,0
17th May 2023 02:00:00,269066,0,216497,0,0,0,0,0,89134,0
17th May 2023 03:00:00,325840,0,237157,0,0,0,0,0,89134,0
17th May 2023 04:00:00,389103,0,262133,0,0,184685,0,0,89134,0
17th May 2023 05:00:00,459169,0,291743,0,0,218277,0,0,89134,97874
17th May 2023 06:00:00,557141,0,335698,0,0,263471,0,0,89134,130657
17th May 2023 07:00:00,655308,0,386458,0,0,303967,0,0,89134,130657
17th May 2023 08:00:00,717482,0,422048,0,0,333815,0,0,89134,130657
17th May 2023 09:00:00,717482,0,466444,0,0,367965,0,0,89134,130657
17th May 2023 10:00:00,717482,0,495667,0,0,384174,0,0,89134,130657
17th May 2023 11:00:00,889826,0,523265,0,0,398679,0,0,335338,258681
17th May 2023 12:00:00,927957,0,548936,0,0,411866,0,0,352865,279358
17th May 2023 13:00:00,968097,0,578815,0,0,427892,0,0,371184,302381
17th May 2023 14:00:00,990884,0,593428,0,0,436973,0,0,371184,314744
17th May 2023 15:00:00,1014086,0,608567,0,0,446709,271115,0,391107,326069
17th May 2023 16:00:00,1034642,0,621976,0,0,455257,312107,0,400742,335149
17th May 2023 17:00:00,1057664,0,621976,0,0,464006,354355,0,410964,347314
17th May 2023 18:00:00,1057664,0,621976,0,0,464006,354355,0,410964,361576
17th May 2023 19:00:00,1057664,0,621976,0,0,464006,422101,0,410964,373894
17th May 2023 20:00:00,1057664,0,621976,0,0,464006,422101,0,410964,390755
17th May 2023 21:00:00,1057664,0,621976,0,0,464006,422101,0,410964,394672
17th May 2023 22:00:00,1057664,0,621976,0,0,464006,422101,0,410964,398094
17th May 2023 23:00:00,1057664,0,621976,0,0,464006,468479,0,410964,399389
18th May 2023 00:00:00,1057664,0,621976,0,0,464006,469584,0,410964,400172
18th May 2023 01:00:00,1057664,0,621976,0,0,464006,470786,0,410964,400939
18th May 2023 02:00:00,1057664,0,621976,0,0,464006,472861,0,410964,400939
18th May 2023 03:00:00,1057664,0,621976,0,0,464006,477671,0,410964,400939
18th May 2023 04:00:00,1057664,0,621976,0,0,464006,483484,0,410964,400939
18th May 2023 05:00:00,1057664,0,621976,0,0,464006,488236,0,410964,400939
18th May 2023 06:00:00,1057664,0,621976,0,0,464006,495082,0,410964,400939
18th May 2023 07:00:00,1057664,0,621976,0,0,464006,501267,0,410964,400939
18th May 2023 08:00:00,1057664,0,621976,0,0,464006,505125,0,410964,400939
18th May 2023 09:00:00,1057664,0,621976,0,0,464006,510417,0,410964,400939
18th May 2023 10:00:00,1057664,0,621976,0,0,464006,510417,0,410964,400939
18th May 2023 11:00:00,1057664,0,621976,0,0,464006,510417,0,410964,400939
18th May 2023 12:00:00,1154364,1098130,772018,599422,574545,530232,520597,478981,471645,415329
18th May 2023 12:30:00,1154364,1098130,772018,599422,574545,530232,520597,478981,471645,415329
18th May 2023 12:30:00,1154364,1098130,772018,599422,574545,530232,520597,478981,471645,415329
18th May 2023 12:30:00,1154364,1098130,772018,599422,574545,530232,520597,478981,471645,415329
18th May 2023 12:30:00,1154364,1098130,772018,599422,574545,530232,520597,478981,471645,415329
18th May 2023 12:30:00,1154364,1098130,772018,599422,574545,530232,520597,478981,471645,415329
18th May 2023 12:30:00,1154364,1098130,772018,599422,574545,530232,520597,478981,471645,415329
18th May 2023 12:30:00,1154364,1098130,772018,599422,574545,530232,520597,478981,471645,415329
18th May 2023 12:30:00,1154364,1098130,772018,599422,574545,530232,520597,478981,471645,415329
